"SKILL_CATEGORY"
Java
SQL
Servlet
JSP
XML
Git
JUnit
Maven
JDBC
HTML
CSS
JavaScript
jQuery
AJAX
UNIX
AWS
Jenkins
Hibernate
Spring
SOAP
REST
AngularJS
Selenium
Cucumber
UFT
Python
Robot Framework
ALM
SDLC
Agile
Testing
VBScript
SOAP UI
TestNG
Chef
Docker
Kafka
Microservices
NoSQL
C#
ASP.NET
ADO.NET
Entity Framework
MSBuild
WPF
WCF
J2EE
InfoSec
MS Office
Pega
Angular
MS Visio
Business Analysis
Salesforce
Networking
AWS Compute/Networking
AWS Security/Monitoring
AWS Storage/Database
AWS Operations/Application
AWS Orchestration
SF Apex
SF Visualforce
ServiceNow Admin
ServiceNow Developer
SF Security & Access
SF Data Model
SF Process Automation
SF Sales & Marketing
SF Service & Support
SF Reports/Dashboards
SF Data Management
SF SOQL & SOSL
SF Lightning
Dynamics CRM
.NET MVC
Problem Solving
SF App Builder
SF Debug & Deployment
Hadoop
MapReduce
HDFS
ZooKeeper
Oozie
Sqoop
Hive
Pig
HBase
Spark
EMR
HDInsight
UiPath
SF Setup
SF Data Model
SF Reports & Dashboards
SF Process Automation
SF Activities & Collaboration
SF Data Management
SF External Applications & AppExchange
SF ADM201
SF Triggers
SF Testing
SF Lightning
SF API & Integration
SF PD1
.NET
DevOps
BA-Fundamentals
Requirements Modeling & Documentation
BA-SQL
Agile Business Analysis
BA-Soft skills
BA-ECBA-Preparation
Network Security
Go
JVM
Performance Testing
Linux
